"","HF.Rep.1","TTA.FO.Rep.1","FO.Rep.2","TTA.Rep.3","TTA.Rep.1","HF.Rep.2","TTA.FO.Rep.2","FO.Rep.3","FO.Rep.1","TTA.Rep.2","HF.Rep.3","TTA.FO.Rep.3","log-ratios .Rep. vs .Rep.1","log-ratios C3 vs .Rep.1","log-ratios .Rep.3 vs .Rep.1","log-ratios C3 vs .Rep.","log-ratios .Rep.3 vs .Rep.","log-ratios .Rep.3 vs C3","p-values limma .Rep. vs .Rep.1","p-values limma C3 vs .Rep.1","p-values limma .Rep.3 vs .Rep.1","p-values limma C3 vs .Rep.","p-values limma .Rep.3 vs .Rep.","p-values limma .Rep.3 vs C3","p-values Miss test .Rep. vs .Rep.1","p-values Miss test C3 vs .Rep.1","p-values Miss test .Rep.3 vs .Rep.1","p-values Miss test C3 vs .Rep.","p-values Miss test .Rep.3 vs .Rep.","p-values Miss test .Rep.3 vs C3","p-values rank products .Rep. vs .Rep.1","p-values rank products C3 vs .Rep.1","p-values rank products .Rep.3 vs .Rep.1","p-values rank products C3 vs .Rep.","p-values rank products .Rep.3 vs .Rep.","p-values rank products .Rep.3 vs C3","p-values permutation test .Rep. vs .Rep.1","p-values permutation test C3 vs .Rep.1","p-values permutation test .Rep.3 vs .Rep.1","p-values permutation test C3 vs .Rep.","p-values permutation test .Rep.3 vs .Rep.","p-values permutation test .Rep.3 vs C3","p-values t-test .Rep. vs .Rep.1","p-values t-test C3 vs .Rep.1","p-values t-test .Rep.3 vs .Rep.1","p-values t-test C3 vs .Rep.","p-values t-test .Rep.3 vs .Rep.","p-values t-test .Rep.3 vs C3","q-values PolySTest .Rep. vs .Rep.1","q-values PolySTest C3 vs .Rep.1","q-values PolySTest .Rep.3 vs .Rep.1","q-values PolySTest C3 vs .Rep.","q-values PolySTest .Rep.3 vs .Rep.","q-values PolySTest .Rep.3 vs C3","q-values limma .Rep. vs .Rep.1","q-values limma C3 vs .Rep.1","q-values limma .Rep.3 vs .Rep.1","q-values limma C3 vs .Rep.","q-values limma .Rep.3 vs .Rep.","q-values limma .Rep.3 vs C3","q-values Miss test .Rep. vs .Rep.1","q-values Miss test C3 vs .Rep.1","q-values Miss test .Rep.3 vs .Rep.1","q-values Miss test C3 vs .Rep.","q-values Miss test .Rep.3 vs .Rep.","q-values Miss test .Rep.3 vs C3","q-values rank products .Rep. vs .Rep.1","q-values rank products C3 vs .Rep.1","q-values rank products .Rep.3 vs .Rep.1","q-values rank products C3 vs .Rep.","q-values rank products .Rep.3 vs .Rep.","q-values rank products .Rep.3 vs C3","q-values permutation test .Rep. vs .Rep.1","q-values permutation test C3 vs .Rep.1","q-values permutation test .Rep.3 vs .Rep.1","q-values permutation test C3 vs .Rep.","q-values permutation test .Rep.3 vs .Rep.","q-values permutation test .Rep.3 vs C3","q-values t-test .Rep. vs .Rep.1","q-values t-test C3 vs .Rep.1","q-values t-test .Rep.3 vs .Rep.1","q-values t-test C3 vs .Rep.","q-values t-test .Rep.3 vs .Rep.","q-values t-test .Rep.3 vs C3"
"feature 164",0.3336479699,-0.2983306276,0.2226712266,NA,-0.0440500728,0.0532075824,-0.0981948726,NA,-0.0908608721,-0.1087031406,NA,NA,-0.184187736933333,-0.00400749799999998,NA,0.180180238933333,NA,NA,0.318167836930452,0.983918486479228,NA,0.378501881694123,NA,NA,0.736184711237444,0.743743986078656,0.026739023020235,1,0.0475004255732124,0.541823864424422,0.272757561341728,0.686212564476921,NA,0.274554465433342,NA,NA,0.311688311688312,0.884115884115884,NA,0.535464535464535,NA,NA,0.339872922677011,0.986242318979699,NA,0.451370382529304,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,0.996724874335073,0.999884892217684,NA,0.996241307005781,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,1,1,NA,1,NA,NA,0.998683419209076,1,NA,1,NA,NA,0.999056344581373,0.999905964085686,NA,0.996322100463079,NA,NA
"feature 165",NA,NA,NA,-0.602435274,NA,NA,NA,-0.1248088568,NA,NA,0.5499947408,0.032598426,NA,NA,NA,NA,NA,-0.781543309066667,NA,NA,NA,NA,NA,0.0655314172078094,1,0.910617607041977,0.026739023020235,0.862649955952064,0.0475004255732124,0.541823864424422,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,NA,NA,NA,NA,NA,0.823545813826538,1,1,0.0875095298844053,1,0.334140924721908,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 166",0.506236993,-0.5823900236,0.2395796809,-0.4789425591,-0.0299130074,0.1938387949,-0.3344903488,-0.0711971827,0.230860194,-0.0949927576,0.4717688722,0.0205679519,-0.396909388633333,-0.110108658433333,-0.412251989833333,0.2868007302,-0.0153426012,-0.3021433314,0.156990533639791,0.680545641701457,0.143057982455393,0.295036141189049,0.954057135036463,0.271368306378886,0.349815203939967,1,0.2611779738367,0.289725082135137,1,0.208143411082954,0.0970700989349025,0.644548680185783,0.171384694713417,0.399553268298909,0.841898447249897,0.536608993898472,0.248041775456919,0.992007992007992,0.17982017982018,0.451548451548452,0.74025974025974,0.398601398601399,0.230463525937158,0.722282331158292,0.131601713007966,0.433638654634139,0.958322655758465,0.357787126423116,1,1,0.996133496133496,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,1,0.644519838661535,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 167",0.0243147293,-0.0552852899,-0.1783431895,0.0732153673,0.0185177311,0.0719266801,0.1685408467,-0.0075243456,0.0234702864,0.0220027623,0.243882449,-0.2089313721,-0.00921953143333333,0.0559257864666667,-0.0698476990666667,0.0651453179,-0.0606281676333333,-0.125773485533333,0.943821986257526,0.670444312406371,0.596032710424762,0.620683462908437,0.644835259877028,0.34726791136937,1,0.456603586607448,0.701057941828649,0.422411377012329,1,0.344916253718957,0.677266045974631,0.678473853959859,0.628997738958715,0.620293014507822,0.681649835991346,0.65479497046306,0.871128871128871,0.646353646353646,0.624375624375624,0.617382617382617,0.613386613386613,0.664335664335664,0.826604183592841,0.709017379420012,0.492693332659131,0.671529335614654,0.559645068496907,0.46908764585975,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 168",0.0553412964,0.0884356064,-0.0042827335,0.0047200553,-0.1407730037,0.055533713,-0.0802237029,0.1482514303,-0.0861015412,-0.0619662738,0.0558475947,-0.2432219957,0.0845120980333333,0.0476248022666667,0.0270942461333333,-0.0368872957666667,-0.0574178519,-0.0205305561333333,0.495024194691391,0.698288802838082,0.825015835599042,0.763647422040904,0.640831774161414,0.86687818937319,0.744511345183568,0.747395895585011,1,1,1,1,0.37039530831437,0.424318257399747,0.44244354316329,0.562244884396901,0.683070543563497,0.710790401380905,0.416583416583417,0.941058941058941,0.797202797202797,0.845154845154845,0.951048951048951,0.876123876123876,0.32143896127553,0.541016348079074,0.846496629936222,0.574332809985614,0.67692009600235,0.878119392743164,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.832333495795726,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853307571968105
"feature 169",1.2297089286,-0.5669271371,NA,0.3347999948,-1.3139916884,NA,NA,0.528015926,0.5912552198,NA,-0.5164809157,-0.1876073228,-0.7359179571,-0.6854717357,0.0560787126666667,0.0504462214,0.791996669766667,0.741550448366667,0.449029516457209,0.479333377191708,0.933371247821675,0.965358561232076,0.416974205863159,0.44573204929397,0.0480033674868144,0.0329252644058467,0.0224669916461777,1,0.0636590860549139,0.0718215918161385,1,1,1,1,1,1,NA,NA,0.954207920792079,NA,NA,NA,NA,NA,0.949301485784005,NA,NA,NA,1,0.584065559895021,0.350038119537621,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,0.194688519965007,0.0875095298844053,1,0.428124842479201,1,1,1,1,1,1,1,NA,NA,0.996133496133496,NA,NA,NA,NA,NA,0.993487228703595,NA,NA,NA
"feature 170",0.2900626841,-0.1639923222,0.2456283512,-0.226566119,-0.3265019718,0.2575490506,-0.1413769745,0.0230211452,0.2365499731,-0.3104865309,0.2156198179,-0.015519433,-0.139013495966667,0.0399201697333333,-0.139725030733333,0.1789336657,-0.000711534766666674,-0.179645200466667,0.509418647777818,0.8482146676689,0.507301236162461,0.39911430204255,0.997275524960754,0.397308448277568,1,1,0.2611779738367,0.738774838606341,1,0.247422198152014,0.564994671888513,0.77172386585141,0.722880061309755,0.342079244264515,0.699715223987716,0.437086440130976,0.554232804232804,0.622377622377622,0.643356643356643,0.473526473526474,0.862137862137862,0.534465534465534,0.622485479084286,0.873799023830061,0.563257289035647,0.447931881456959,0.997220593466668,0.29926282431718,1,1,0.996133496133496,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,1,0.644519838661535,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 171",NA,NA,NA,-0.2312862167,NA,NA,NA,0.0869151295,NA,NA,0.089640885,0.0547302021,NA,NA,NA,NA,NA,-0.119521180033333,NA,NA,NA,NA,NA,0.620982092537628,1,1,0.026739023020235,1,0.0475004255732124,0.541823864424422,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,NA,NA,NA,NA,NA,0.823545813826538,1,1,0.0875095298844053,1,0.334140924721908,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 172",0.0135019261,0.1859306767,NA,NA,-0.3314098623,NA,NA,NA,0.0737304536,NA,NA,NA,0.2673231709,NA,NA,NA,NA,NA,0.337417325352391,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 173",0.2134600377,0.4233174463,0.435941592,0.334935498,-0.4800085254,0.1148141203,-0.3168260597,0.2121660513,-0.0316326904,-0.1495818711,-0.0823885609,-0.6123362335,0.2289102912,0.111636049833333,0.0776488313,-0.117274241366667,-0.1512614599,-0.0339872185333333,0.455798172500402,0.713134932579216,0.797816931315545,0.699437183097095,0.619379949175739,0.910601616851415,1,1,1,1,1,0.964400651681215,0.374210591111204,0.767435129166088,0.744113061048795,0.756580096662663,0.803948753720716,0.947787929229391,0.415584415584416,0.825174825174825,0.789210789210789,0.785214785214785,0.786213786213786,0.991008991008991,0.433409376082341,0.729793833037396,0.841148720563725,0.695738582676622,0.685697362171911,0.931813829891252,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.84142549439732,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.858006035553795
