"","HF.Rep.1","TTA.FO.Rep.1","FO.Rep.2","TTA.Rep.3","TTA.Rep.1","HF.Rep.2","TTA.FO.Rep.2","FO.Rep.3","FO.Rep.1","TTA.Rep.2","HF.Rep.3","TTA.FO.Rep.3","log-ratios .Rep. vs .Rep.1","log-ratios C3 vs .Rep.1","log-ratios .Rep.3 vs .Rep.1","log-ratios C3 vs .Rep.","log-ratios .Rep.3 vs .Rep.","log-ratios .Rep.3 vs C3","p-values limma .Rep. vs .Rep.1","p-values limma C3 vs .Rep.1","p-values limma .Rep.3 vs .Rep.1","p-values limma C3 vs .Rep.","p-values limma .Rep.3 vs .Rep.","p-values limma .Rep.3 vs C3","p-values Miss test .Rep. vs .Rep.1","p-values Miss test C3 vs .Rep.1","p-values Miss test .Rep.3 vs .Rep.1","p-values Miss test C3 vs .Rep.","p-values Miss test .Rep.3 vs .Rep.","p-values Miss test .Rep.3 vs C3","p-values rank products .Rep. vs .Rep.1","p-values rank products C3 vs .Rep.1","p-values rank products .Rep.3 vs .Rep.1","p-values rank products C3 vs .Rep.","p-values rank products .Rep.3 vs .Rep.","p-values rank products .Rep.3 vs C3","p-values permutation test .Rep. vs .Rep.1","p-values permutation test C3 vs .Rep.1","p-values permutation test .Rep.3 vs .Rep.1","p-values permutation test C3 vs .Rep.","p-values permutation test .Rep.3 vs .Rep.","p-values permutation test .Rep.3 vs C3","p-values t-test .Rep. vs .Rep.1","p-values t-test C3 vs .Rep.1","p-values t-test .Rep.3 vs .Rep.1","p-values t-test C3 vs .Rep.","p-values t-test .Rep.3 vs .Rep.","p-values t-test .Rep.3 vs C3","q-values PolySTest .Rep. vs .Rep.1","q-values PolySTest C3 vs .Rep.1","q-values PolySTest .Rep.3 vs .Rep.1","q-values PolySTest C3 vs .Rep.","q-values PolySTest .Rep.3 vs .Rep.","q-values PolySTest .Rep.3 vs C3","q-values limma .Rep. vs .Rep.1","q-values limma C3 vs .Rep.1","q-values limma .Rep.3 vs .Rep.1","q-values limma C3 vs .Rep.","q-values limma .Rep.3 vs .Rep.","q-values limma .Rep.3 vs C3","q-values Miss test .Rep. vs .Rep.1","q-values Miss test C3 vs .Rep.1","q-values Miss test .Rep.3 vs .Rep.1","q-values Miss test C3 vs .Rep.","q-values Miss test .Rep.3 vs .Rep.","q-values Miss test .Rep.3 vs C3","q-values rank products .Rep. vs .Rep.1","q-values rank products C3 vs .Rep.1","q-values rank products .Rep.3 vs .Rep.1","q-values rank products C3 vs .Rep.","q-values rank products .Rep.3 vs .Rep.","q-values rank products .Rep.3 vs C3","q-values permutation test .Rep. vs .Rep.1","q-values permutation test C3 vs .Rep.1","q-values permutation test .Rep.3 vs .Rep.1","q-values permutation test C3 vs .Rep.","q-values permutation test .Rep.3 vs .Rep.","q-values permutation test .Rep.3 vs C3","q-values t-test .Rep. vs .Rep.1","q-values t-test C3 vs .Rep.1","q-values t-test .Rep.3 vs .Rep.1","q-values t-test C3 vs .Rep.","q-values t-test .Rep.3 vs .Rep.","q-values t-test .Rep.3 vs C3"
"feature 1",-0.0277967998,0.2644644037,NA,NA,-0.0270594235,NA,NA,NA,-0.3002030066,NA,NA,NA,0.382817480333333,NA,NA,NA,NA,NA,0.147078844383214,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 2",0.0481386393,0.2354957748,NA,NA,-0.1690967953,NA,NA,NA,-0.0692033187,NA,NA,NA,0.298882933033333,NA,NA,NA,NA,NA,0.198256705111528,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 3",0.4615707061,0.0808386809,0.3211096844,-0.2393251768,-0.7500572739,0.4649272631,-0.0663657287,-0.2067686211,0.4215763157,-0.1667008773,0.3937540823,0.0594791884,0.0819917729333333,0.171802763366667,-0.1732347858,0.0898109904333333,-0.255226558733333,-0.345037549166667,0.793245310328896,0.585076200116636,0.581999246713938,0.774116907999678,0.421459642509153,0.283405611712355,1,0.0934949131246251,0.0786186213655374,1,0.545168895287828,0.114818539297623,0.897368550923732,0.908855919954172,0.962847690318362,0.700759108097437,0.368170323642891,0.208394532694815,0.829170829170829,0.678321678321678,0.714285714285714,0.529470529470529,0.273726273726274,0.21978021978022,0.864106355876793,0.716276414843924,0.709015367878838,0.720339316405192,0.305022605754704,0.12491963025308,1,1,0.950411778285607,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,0.491149243195455,0.237602944571402,1,1,1,1,1,1,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 4",-0.019566896,0.2170181238,-0.0686570265,0.0883440943,-0.1218971684,0.0227086242,-0.0034907955,0.0562073646,-0.0671155127,0.0179514949,0.1999909117,-0.0731335107,0.155419273333333,0.112140888933333,0.0933325084333333,-0.0432783844,-0.0620867649,-0.0188083805,0.184569843577634,0.328268147789762,0.412430165726326,0.700093959804429,0.582033605482854,0.866649949655727,0.113511967748233,0.732804966380187,0.640034951099519,0.692922535484721,1,1,0.251804109308725,0.258458227790434,0.184934744436402,0.684143197975776,0.678816508974567,0.602819782048686,0.18981018981019,0.661338661338661,0.362637362637363,0.999000999000999,0.737262737262737,0.646353646353646,0.126577741277269,0.299014201808827,0.195607477519649,0.699921443418319,0.494476338265621,0.854264229248768,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.832333495795726,0.902419883480947,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 5",0.2936658772,-0.0533337399,NA,NA,0.0532100156,NA,NA,NA,-0.2935421529,NA,NA,NA,-0.0711116532,NA,NA,NA,NA,NA,0.819699476609854,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 6",-0.0535483953,0.0340262478,0.0029697172,-0.1398579669,0.0789590533,0.0410262671,-0.0557914174,0.0522007306,-0.0569234692,-0.0568309877,0.0154293507,-0.0738170377,0.0165781128,-0.0019598461,-0.0433204876,-0.0185379589,-0.0598986004,-0.0413606415,0.864654482019224,0.983911443908437,0.65739649397763,0.848864318840385,0.541542991993986,0.671834004538272,1,1,0.7497115385468,0.678464173513568,0.742392388786264,0.738310517385021,0.706169865607136,0.734871079821976,0.813276398041587,0.640015639397453,0.63993283424121,0.704317118288872,0.66033966033966,0.895104895104895,0.897102897102897,0.821178821178821,0.848151848151848,0.976023976023976,0.778670353398851,0.971174411953073,0.581103980268365,0.657452837753201,0.419119858882926,0.550005664283868,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.829415667865252,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 7",NA,NA,0.4665244279,NA,NA,-0.2098372243,-0.3054612041,NA,NA,0.1134569958,NA,NA,NA,NA,NA,0.12872172615,NA,NA,NA,NA,NA,0.711916672216663,NA,NA,0.363020559285063,0.412620093495553,1,1,0.501951875933462,0.541823864424422,NA,NA,NA,0.912921469436034,NA,NA,NA,NA,NA,0.809840425531915,NA,NA,NA,NA,NA,0.799324259500593,NA,NA,0.902419883480947,1,1,1,1,1,NA,NA,NA,0.996241307005781,NA,NA,0.902419883480947,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.996322100463079,NA,NA
"feature 8",0.0055282924,0.0109022652,0.2409092493,0.1741193589,0.0462658885,-0.235274093,0.1111789942,-0.1403469645,-0.1580272153,-0.152115903,0.071420852,0.040943684,-0.0900848988,0.176580709966667,0.0603163709333333,0.266665608766667,0.150401269733333,-0.116264339033333,0.467289380558899,0.169041220476892,0.623923155495179,0.0488731254755568,0.235498310155582,0.352348918952566,1,0.0828115340910869,1,0.0737304107488028,0.631972488671239,0.546447515393541,0.506739620410995,0.198323311779571,0.445871774637843,0.155891392207547,0.290000295079985,0.54550486959423,0.120879120879121,0.031968031968032,0.494505494505495,0.102897102897103,0.401598401598402,0.707292707292707,0.40009254576534,0.0965640696952065,0.617622429940093,0.0452330912321565,0.268991852311045,0.343648123797232,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,0.446525628755464,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 9",0.2461735023,0.5745540557,NA,NA,-0.6908962234,NA,NA,NA,-0.0803437293,NA,NA,NA,0.749576205833333,NA,NA,NA,NA,NA,0.142781190943437,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,0.745943830853725,0.756954867482574,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 10",0.471875814,-0.9869140657,0.2443289577,0.3291617656,0.5664259417,0.380020444,0.2263177563,-2.434812294,0.1403550607,-1.4131803545,0.2025754931,0.3723929657,-1.06624359753333,-0.1684782031,-0.970638126366667,0.897765394433333,0.0956054711666666,-0.802159923266667,0.148242637284622,0.809712709577105,0.184338465423975,0.216664252274278,0.89120434054188,0.266041049071695,0.0794705393060497,0.0763617419847491,0.0622496749590971,0.348067582415609,1,0.0980206929789156,0.128499752514628,0.410341649418963,0.484020485551786,0.278038977999165,1,0.96815753855631,0.115884115884116,0.0949050949050949,0.330669330669331,0.135864135864136,0.750642673521851,0.493506493506494,0.182069459257433,0.321764711246984,0.405828295443189,0.238774796446086,0.934362875302037,0.47873856938598,1,1,0.760035931670173,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,0.415407876397035,0.190008982917543,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 11",0.1969399882,-0.3737253427,-0.2262169373,-0.0614522746,-0.0517838658,0.174120226,-0.1388324207,0.0900570261,0.104384983,-0.0390032709,0.1604522293,-0.2064572095,-0.162716497666667,-0.151379411366667,-0.142464521133333,0.0113370863,0.0202519765333334,0.00891489023333334,0.34172776125343,0.374978970735687,0.40269991631274,0.945953866661057,0.903641056278977,0.957486639933329,1,0.722860822594778,0.533727411689944,1,1,1,0.351293301697625,0.244626176997466,0.359666885711897,0.776072797275427,0.614420937401201,0.551212051677484,0.594405594405594,0.509490509490509,0.868131868131868,0.842157842157842,0.889110889110889,0.89010989010989,0.426022530254447,0.344632155779768,0.274832078230025,0.957277788479039,0.917824930479807,0.954191904203378,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.843722629262685,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.858006035553795
"feature 12",-0.063061864,-0.254580915,NA,-0.0560933855,-0.247283992,NA,NA,-0.1224179097,0.1198801164,NA,0.3083423674,-0.3464822267,-0.191092335133333,0.371830947266667,-0.111509260766667,0.5629232824,0.0795830743666667,-0.483340208033333,0.402998790267169,0.129686811416007,0.486051399545238,0.0726596717979921,0.721072159568169,0.0621698033839639,0.363020559285063,0.412620093495553,1,1,0.501951875933462,0.541823864424422,1,1,0.561173084121746,1,1,1,NA,NA,0.569430569430569,NA,NA,NA,NA,NA,0.464841728210972,NA,NA,NA,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,1,1,1,1,1,1,1,0.992885682841812,1,1,1,NA,NA,0.996133496133496,NA,NA,NA,NA,NA,0.993487228703595,NA,NA,NA
"feature 13",0.4907954365,-0.2520236617,0.7433191995,-0.1552525162,-0.4843301454,0.1740446866,-0.4827050964,0.4464100308,0.2048110543,-0.2166057436,-0.0083417691,-0.1917678129,-0.1686203547,0.0136653295333334,-0.0372955479,0.182285684233333,0.1313248068,-0.0509608774333334,0.626637106315501,0.968363192728249,0.913824404803519,0.599332356827739,0.704120464518261,0.882477907742729,0.391340102727235,0.512943592292908,0.922337795216823,0.482066296048471,0.717280956289182,0.479469107854905,0.768928781791904,1,0.851225619556293,0.942406287982919,0.373919641959043,1,0.576424870466321,0.96003996003996,0.938061938061938,0.710858585858586,0.64035964035964,0.992007992007992,0.636487473359182,0.977757783344276,0.922053836970218,0.670885637429891,0.628367007054249,0.909031301734184,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.835998610804688,0.958000571476272,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.858006035553795
"feature 14",0.1756507683,-0.0390890028,-0.0612785765,0.1677555806,0.227707111,0.0296015314,-0.1184211266,-0.043784607,-0.2277199953,0.0376306044,-0.0645489931,0.0028041553,-0.049164917,-0.1399621934,-0.0162875850333333,-0.0907972764,0.0328773319666667,0.123674608366667,0.709531427711873,0.300550646250454,0.901483465990763,0.495126464066643,0.802917687308972,0.357509828791898,0.450089989444551,0.438135331071044,0.367849772961132,0.1198811953681,1,0.114676109999592,0.750667924480232,0.592342679393299,0.854137766706545,0.372407097997788,0.440767578928627,0.210993495415643,0.929070929070929,0.36963036963037,0.647352647352647,0.010989010989011,0.220779220779221,0.171828171828172,0.766762820248282,0.433732007067729,0.924710167978363,0.0449408831369591,0.66976138721053,0.186962439024086,1,1,0.996133496133496,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,1,0.824630260264516,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 15",-0.029932073,0.1137922454,NA,NA,-0.3173602769,NA,NA,NA,0.0301329319,NA,NA,NA,0.2195120514,NA,NA,NA,NA,NA,0.390564883244129,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 16",0.0835165921,0.234141361,NA,NA,-0.5484368125,NA,NA,NA,0.2363137052,NA,NA,NA,0.310343532733333,NA,NA,NA,NA,NA,0.451536744398914,NA,NA,NA,NA,NA,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.192816088672507,0.0875095298844053,1,1,1,0.996724874335073,NA,NA,NA,NA,NA,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 17",0.3182514993,-0.3826650211,0.1097165514,-0.1170140207,-0.2726200654,0.4705750679,-0.150255317,-0.1190735933,0.2274461416,-0.4076549384,0.5915175074,-0.217225688,-0.197607489033333,0.0926337221,-0.2421302925,0.290241211133333,-0.0445228034666667,-0.3347640146,0.475328395004739,0.735339350287557,0.384761834786045,0.301382365087715,0.870650028060749,0.237256157807067,0.546702710201343,0.789499832170766,0.282873090906545,0.650837439069213,0.633463064827033,0.470331945241143,0.721892861024469,0.635231923048967,0.354299165488904,0.477669558117492,0.950081972815953,0.117765888466861,0.57042957042957,0.586413586413586,0.307692307692308,0.519480519480519,0.769230769230769,0.303696303696304,0.599721598693178,0.761510992239594,0.317283446591105,0.470035723987158,0.891958835146023,0.261866379622224,1,1,0.996133496133496,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,1,0.689714468664564,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 18",NA,NA,-0.3921370171,0.2937827934,NA,-0.2099482667,-0.0278533638,0.3761486282,NA,0.4779263551,-0.4035822403,-0.3266275692,NA,NA,NA,-0.408513251266667,-0.0195544267333333,0.388958824533333,NA,NA,NA,0.198336242302029,0.947788063075468,0.174064463497099,0.363020559285063,0.0319784852945416,0.026739023020235,1,0.874806434831681,0.13264384482589,NA,NA,NA,0.427025049524514,0.759510221582592,0.369493855522439,NA,NA,NA,0.271728271728272,0.89010989010989,0.213786213786214,NA,NA,NA,0.432422178445346,0.96655261300053,0.219247951339427,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,NA,NA,NA,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,0.996322100463079,0.999360667414772,0.853246744592412
"feature 19",0.0949005058,-0.0088164945,NA,-0.004373493,-0.126218804,NA,NA,0.1289366641,-0.0090241795,NA,0.1388381926,-0.2756491019,0.00463099806666666,0.152285685166667,-0.0369144843666667,0.1476546871,-0.0415454824333333,-0.189200169533333,0.983165319415227,0.496396420139017,0.812426166157726,0.587534224876946,0.850083638243293,0.402946794809274,0.363020559285063,0.412620093495553,1,1,0.501951875933462,0.541823864424422,1,1,0.711746017202225,1,1,1,NA,NA,0.919080919080919,NA,NA,NA,NA,NA,0.80204257743858,NA,NA,NA,1,1,1,1,1,1,0.997104336231133,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,0.902419883480947,1,1,1,1,1,1,1,0.992885682841812,1,1,1,NA,NA,0.996133496133496,NA,NA,NA,NA,NA,0.993487228703595,NA,NA,NA
"feature 20",-0.7631375134,0.6945464092,-0.3800920884,0.5570712355,0.7119586428,-0.8855385808,0.5092862756,0.0006010085,-0.4144574968,0.8323987083,-0.6841983089,0.512621788,0.369014301366667,-0.0297892514333333,0.5119767998,-0.3988035528,0.142962498433333,0.541766051233333,0.489834937957586,0.955002044153745,0.343245293981174,0.456375670159484,0.78691680796136,0.317179818952749,0.525652732777651,0.657201813249606,0.520580055134296,0.0190884301488526,0.0114551685677419,0.616897826229833,0.876894393097951,0.959395294596551,0.642241271746554,0.900476779418988,1,0.392419117498917,0.569430569430569,0.962037962037962,0.236763236763237,0.541458541458541,0.777222777222777,0.168831168831169,0.631090333599075,0.961021416580064,0.373881302700039,0.581786913160955,0.824513082722981,0.270503600106116,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,1,1,1,0.334140924721908,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 21",NA,NA,-0.1348612003,0.1025151345,NA,0.3167428981,-0.2652557398,-0.3247300476,NA,-0.0066318314,0.3399006811,-0.1084194038,NA,NA,NA,-0.175127619683333,-0.265266972316667,-0.0901393526333333,NA,NA,NA,0.463848202200421,0.278605047854592,0.669314415500652,0.363020559285063,0.0319784852945416,0.026739023020235,1,1,1,NA,NA,NA,0.594180521596319,0.517247157164082,0.863456243226651,NA,NA,NA,0.701935483870968,0.478521478521479,0.693306693306693,NA,NA,NA,0.528345125899839,0.314701173718247,0.707595604617226,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,NA,NA,NA,0.996241307005781,0.999362887638778,0.829415667865252,0.902419883480947,0.192816088672507,0.0875095298844053,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,0.996322100463079,0.999360667414772,0.853246744592412
"feature 22",0.0440782784,-0.1751769961,-0.2573895784,NA,-0.0994643477,0.0779396474,-0.0560061577,NA,0.1554175734,0.2704559636,NA,NA,0.0243957036,-0.19004170275,NA,-0.21443740635,NA,NA,0.877017110901797,0.299737616092276,NA,0.246689284094179,NA,NA,1,0.639495746447478,0.026739023020235,0.601110638904964,0.0475004255732124,0.541823864424422,0.730013255542727,0.602926407541557,NA,0.569861791288239,NA,NA,0.652347652347652,0.166448230668414,NA,0.252747252747253,NA,NA,0.879510441615217,0.263577879069424,NA,0.282189793832034,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,0.996724874335073,0.999884892217684,NA,0.996241307005781,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,1,1,NA,1,NA,NA,0.998683419209076,1,NA,1,NA,NA,0.999056344581373,0.999905964085686,NA,0.996322100463079,NA,NA
"feature 23",0.2105171299,0.0817193538,0.0566698445,NA,-0.0317744178,-0.0199078747,-0.0221136622,NA,-0.0540167987,0.0170746239,NA,NA,-0.0152799368,-0.0242972133166667,NA,-0.00901727651666667,NA,NA,0.900047101414776,0.858304020910218,NA,0.947119249309032,NA,NA,0.745260376485804,1,0.026739023020235,1,0.0475004255732124,0.541823864424422,0.71402834479381,0.614051948355653,NA,0.665020909157986,NA,NA,0.985014985014985,0.861146496815287,NA,0.574425574425574,NA,NA,0.877729211466919,0.81332446301923,NA,0.870980198279073,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,0.996724874335073,0.999884892217684,NA,0.996241307005781,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,1,1,NA,1,NA,NA,0.998683419209076,1,NA,1,NA,NA,0.999056344581373,0.999905964085686,NA,0.996322100463079,NA,NA
"feature 24",0.2386308477,-0.1397208548,-0.1902057256,NA,-0.207921874,0.3165935429,-0.102364366,NA,0.0638262868,-0.0448282286,NA,NA,0.0125030663333333,-0.1777967993,NA,-0.190299865633333,NA,NA,0.943898167452504,0.38402984973773,NA,0.353348359612303,NA,NA,1,0.653020568974409,0.026739023020235,0.72867568139137,0.0475004255732124,0.541823864424422,0.588524230742017,0.641335158057863,NA,0.533121042106106,NA,NA,0.81018981018981,0.300699300699301,NA,0.285714285714286,NA,NA,0.950774490397579,0.304615351526087,NA,0.303987627257967,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,0.996724874335073,0.999884892217684,NA,0.996241307005781,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,1,1,NA,1,NA,NA,0.998683419209076,1,NA,1,NA,NA,0.999056344581373,0.999905964085686,NA,0.996322100463079,NA,NA
"feature 25",0.0595192935,-0.222793685,-0.1006251236,0.0638609917,0.30103905,0.1904748922,0.0484237285,-0.1447116845,-0.1859164057,-0.232699737,0.1526292415,-0.0601160153,-0.1465534892,-0.0247380304666667,-0.105202881966667,0.121815458733333,0.0413506072333333,-0.0804648515,0.377903828739646,0.879386898908745,0.522818079935477,0.460910764124316,0.79997121985029,0.623535388883223,0.659401537913927,1,1,0.71516942404419,0.71201244321174,1,0.710182817635651,0.899247454331938,0.758298590215197,0.49868597041344,0.476397831499874,0.623386096216567,0.526473526473527,0.898101898101898,0.956043956043956,0.611464968152866,0.898101898101898,0.848151848151848,0.500286869028063,0.885920001546331,0.545919091892226,0.495379074595092,0.804881894637542,0.447338821333227,1,1,1,1,1,1,0.996724874335073,0.999884892217684,0.992352055097194,0.996241307005781,0.999362887638778,0.823545813826538,1,1,1,1,1,1,1,1,0.992885682841812,1,1,1,0.998683419209076,1,0.996133496133496,1,1,1,0.999056344581373,0.999905964085686,0.993487228703595,0.996322100463079,0.999360667414772,0.853246744592412
"feature 26",NA,NA,NA,0.1999240109,NA,NA,NA,0.0144569859,NA,NA,-0.1128197733,-0.0869161058,NA,NA,NA,NA,NA,0.1553080703,NA,NA,NA,NA,NA,0.499532139964576,1,1,0.026739023020235,1,0.0475004255732124,0.124081029930821,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,NA,NA,NA,NA,NA,0.823545813826538,1,1,0.0875095298844053,1,0.334140924721908,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"feature 27",NA,NA,0.2593766428,NA,NA,0.0819967465,-0.1382247268,NA,NA,-0.0981354993,NA,NA,NA,NA,NA,0.0686453344,NA,NA,NA,NA,NA,0.763567937193289,NA,NA,0.363020559285063,0.412620093495553,1,1,0.501951875933462,0.541823864424422,NA,NA,NA,0.807375739323396,NA,NA,NA,NA,NA,0.794642857142857,NA,NA,NA,NA,NA,0.793712297728826,NA,NA,0.902419883480947,1,1,1,1,1,NA,NA,NA,0.996241307005781,NA,NA,0.902419883480947,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.996322100463079,NA,NA
"feature 28",0.0357353471,0.1107760718,-0.1940269502,NA,-0.1564728501,-0.0984410138,0.0793777518,NA,-0.0390883564,0.113241051,NA,NA,0.0951339894666667,-0.00404931273333333,NA,-0.0991833022,NA,NA,0.488037602539899,0.978563024906839,NA,0.516931374647727,NA,NA,0.581369846377628,0.685267010104871,0.026739023020235,0.535570368435527,0.0475004255732124,0.541823864424422,0.538450552801018,0.717671925607082,NA,0.750794181759387,NA,NA,0.362637362637363,0.706179066834805,NA,0.559948979591837,NA,NA,0.351531310456151,0.981626744715558,NA,0.60120298166027,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,0.996724874335073,0.999884892217684,NA,0.996241307005781,NA,NA,1,1,0.0875095298844053,1,0.334140924721908,1,1,1,NA,1,NA,NA,0.998683419209076,1,NA,1,NA,NA,0.999056344581373,0.999905964085686,NA,0.996322100463079,NA,NA
